geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM3721452,su010_post_SCC_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su010,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407844,NONE,GSE123813,0
GSM3721453,su010_pre_BCC_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su010,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407843,NONE,GSE123813,0
GSM3721454,su010_pre_SCC_Tcell_rep1_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su010,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407842,NONE,GSE123813,0
GSM3721455,su010_pre_SCC_Tcell_rep2_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su010,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407841,NONE,GSE123813,0
GSM3721456,su011_post_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su011,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407839,NONE,GSE123813,0
GSM3721457,su011_pre_Tcell_rep1_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su011,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407838,NONE,GSE123813,0
GSM3721458,su011_pre_Tcell_rep2_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su011,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407837,NONE,GSE123813,0
GSM3721459,su012_post_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Basal cell carcinoma tumor,Homo sapiens,9606,donor: su012,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407836,NONE,GSE123813,0
GSM3721460,su012_pre_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Basal cell carcinoma tumor,Homo sapiens,9606,donor: su012,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407835,NONE,GSE123813,0
GSM3721461,su013_post_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su013,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407834,NONE,GSE123813,0
GSM3721462,su013_pre_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su013,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407833,NONE,GSE123813,0
GSM3721463,su014_post_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su014,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407832,NONE,GSE123813,0
GSM3721464,su014_pre_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su014,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407831,NONE,GSE123813,0
